"filename", "language", "JSON", "JavaScript", "PHP", "Markdown", "XML", "CSS", "JSON with Comments", "comment", "blank", "total"
"c:\laragon\www\hyperbeast\README.md", "Markdown", 0, 0, 0, 46, 0, 0, 0, 0, 22, 68
"c:\laragon\www\hyperbeast\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 9, 11, 53
"c:\laragon\www\hyperbeast\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 6, 7, 42
"c:\laragon\www\hyperbeast\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 3, 6, 25
"c:\laragon\www\hyperbeast\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 3, 4, 23
"c:\laragon\www\hyperbeast\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 14, 9, 70
"c:\laragon\www\hyperbeast\app\Http\Controllers\Auth\PasswordController.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 3, 6, 30
"c:\laragon\www\hyperbeast\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 11, 8, 52
"c:\laragon\www\hyperbeast\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 9, 10, 56
"c:\laragon\www\hyperbeast\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 3, 6, 28
"c:\laragon\www\hyperbeast\app\Http\Controllers\Controller.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\laragon\www\hyperbeast\app\Http\Controllers\DashboardController.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\laragon\www\hyperbeast\app\Http\Controllers\NewsletterController.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 2, 8, 29
"c:\laragon\www\hyperbeast\app\Http\Controllers\ProfileController.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 9, 14, 64
"c:\laragon\www\hyperbeast\app\Http\Controllers\UserController.php", "PHP", 0, 0, 91, 0, 0, 0, 0, 10, 23, 124
"c:\laragon\www\hyperbeast\app\Http\Middleware\HandleInertiaRequests.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 13, 6, 40
"c:\laragon\www\hyperbeast\app\Http\Requests\Auth\LoginRequest.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 21, 14, 86
"c:\laragon\www\hyperbeast\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 5, 4, 31
"c:\laragon\www\hyperbeast\app\Mail\NewsletterConfirmation.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 12, 8, 38
"c:\laragon\www\hyperbeast\app\Models\Newsletter.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\laragon\www\hyperbeast\app\Models\Role.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\laragon\www\hyperbeast\app\Models\User.php", "PHP", 0, 0, 49, 0, 0, 0, 0, 18, 15, 82
"c:\laragon\www\hyperbeast\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 7, 5, 26
"c:\laragon\www\hyperbeast\bootstrap\app.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 2, 4, 24
"c:\laragon\www\hyperbeast\bootstrap\providers.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\laragon\www\hyperbeast\composer.json", "JSON", 76, 0, 0, 0, 0, 0, 0, 0, 1, 77
"c:\laragon\www\hyperbeast\composer.lock", "JSON", 9295, 0, 0, 0, 0, 0, 0, 0, 1, 9296
"c:\laragon\www\hyperbeast\config\app.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 82, 23, 127
"c:\laragon\www\hyperbeast\config\auth.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 74, 14, 116
"c:\laragon\www\hyperbeast\config\cache.php", "PHP", 0, 0, 57, 0, 0, 0, 0, 34, 18, 109
"c:\laragon\www\hyperbeast\config\database.php", "PHP", 0, 0, 108, 0, 0, 0, 0, 43, 23, 174
"c:\laragon\www\hyperbeast\config\filesystems.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 32, 13, 81
"c:\laragon\www\hyperbeast\config\logging.php", "PHP", 0, 0, 79, 0, 0, 0, 0, 33, 21, 133
"c:\laragon\www\hyperbeast\config\mail.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 43, 19, 117
"c:\laragon\www\hyperbeast\config\queue.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 44, 17, 113
"c:\laragon\www\hyperbeast\config\services.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 11, 8, 39
"c:\laragon\www\hyperbeast\config\session.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 160, 35, 218
"c:\laragon\www\hyperbeast\database\factories\UserFactory.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 14, 6, 45
"c:\laragon\www\hyperbeast\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 6, 6, 51
"c:\laragon\www\hyperbeast\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 6, 5, 36
"c:\laragon\www\hyperbeast\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 0, 0, 46, 0, 0, 0, 0, 6, 6, 58
"c:\laragon\www\hyperbeast\database\migrations\2025_01_27_001811_create_comments_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 6, 4, 31
